counts	instances_pre	instances_post
1	54701930	54176197
2	8645893	8799666
3	1261520	1309116
4	213033	222871
5	25938	28962
6	8556	9624
7	711	1128
8	2087	2329
9	256	387
10	212	312
11	7	75
12	273	329
13	8	42
14	21	49
15	10	31
16	28	41
17	2	17
18	9	19
19	0	3
20	7	15
21	0	7
22	0	8
23	0	2
24	3	3
25	0	3
26	0	1
27	2	3
28	1	2
29	0	5
30	1	3
31	1	1
33	0	1
34	1	2
36	0	1
38	0	3
39	0	1
41	0	1
42	0	1
45	0	1
47	0	1
51	0	1
54	0	1
58	0	1
61	0	1
73	0	1
75	0	1
90	0	1
116	0	1
142	0	1
161	0	1
168	0	1
172	0	1
324	0	1
392	0	1
958	0	1
