basename	sample	read_group
1_KB_A10_L001	1_KB_A10	1_KB_A10_L001
1_KB_A10_L002	1_KB_A10	1_KB_A10_L002
10_KB_B6_L001	10_KB_B6	10_KB_B6_L001
10_KB_B6_L002	10_KB_B6	10_KB_B6_L002
11_KB_B7_L001	11_KB_B7	11_KB_B7_L001
11_KB_B7_L002	11_KB_B7	11_KB_B7_L002
12_KB_B8_L001	12_KB_B8	12_KB_B8_L001
12_KB_B8_L002	12_KB_B8	12_KB_B8_L002
13_KB_B9_L001	13_KB_B9	13_KB_B9_L001
13_KB_B9_L002	13_KB_B9	13_KB_B9_L002
14_KB_C10_L001	14_KB_C10	14_KB_C10_L001
14_KB_C10_L002	14_KB_C10	14_KB_C10_L002
15_KB_C11_L001	15_KB_C11	15_KB_C11_L001
15_KB_C11_L002	15_KB_C11	15_KB_C11_L002
16_KB_C12_L001	16_KB_C12	16_KB_C12_L001
16_KB_C12_L002	16_KB_C12	16_KB_C12_L002
17_KB_C1_L001	17_KB_C1	17_KB_C1_L001
17_KB_C1_L002	17_KB_C1	17_KB_C1_L002
18_KB_C2_L001	18_KB_C2	18_KB_C2_L001
18_KB_C2_L002	18_KB_C2	18_KB_C2_L002
19_KB_C3_L001	19_KB_C3	19_KB_C3_L001
19_KB_C3_L002	19_KB_C3	19_KB_C3_L002
2_KB_A11_L001	2_KB_A11	2_KB_A11_L001
2_KB_A11_L002	2_KB_A11	2_KB_A11_L002
20_KB_C4_L001	20_KB_C4	20_KB_C4_L001
20_KB_C4_L002	20_KB_C4	20_KB_C4_L002
21_KB_C5_L001	21_KB_C5	21_KB_C5_L001
21_KB_C5_L002	21_KB_C5	21_KB_C5_L002
22_KB_C6_L001	22_KB_C6	22_KB_C6_L001
22_KB_C6_L002	22_KB_C6	22_KB_C6_L002
23_KB_C7_L001	23_KB_C7	23_KB_C7_L001
23_KB_C7_L002	23_KB_C7	23_KB_C7_L002
24_KB_C8_L001	24_KB_C8	24_KB_C8_L001
24_KB_C8_L002	24_KB_C8	24_KB_C8_L002
3_KB_A1_L001	3_KB_A1	3_KB_A1_L001
3_KB_A1_L002	3_KB_A1	3_KB_A1_L002
4_KB_A6_L001	4_KB_A6	4_KB_A6_L001
4_KB_A6_L002	4_KB_A6	4_KB_A6_L002
5_KB_A7_L001	5_KB_A7	5_KB_A7_L001
5_KB_A7_L002	5_KB_A7	5_KB_A7_L002
6_KB_B11_L001	6_KB_B11	6_KB_B11_L001
6_KB_B11_L002	6_KB_B11	6_KB_B11_L002
7_KB_B12_L001	7_KB_B12	7_KB_B12_L001
7_KB_B12_L002	7_KB_B12	7_KB_B12_L002
8_KB_B3_L001	8_KB_B3	8_KB_B3_L001
8_KB_B3_L002	8_KB_B3	8_KB_B3_L002
9_KB_B5_L001	9_KB_B5	9_KB_B5_L001
9_KB_B5_L002	9_KB_B5	9_KB_B5_L002
